date,day,month,altitude,depth,probability
30.mar,30,3,150,11.59699248,0.517241379
30.mar,30,3,250,26.98235294,0.620689655
30.mar,30,3,350,62.92454545,0.827586207
30.mar,30,3,450,76.33225806,0.896551724
30.mar,30,3,550,78.41666667,0.965517241
31.mar,31,3,50,0.012,0.275862069
31.mar,31,3,150,9.488721805,0.482758621
31.mar,31,3,250,27.27294118,0.586206897
31.mar,31,3,350,64.19909091,0.793103448
31.mar,31,3,450,73.62096774,0.896551724
31.mar,31,3,550,76.21666667,0.931034483
01.apr,1,4,50,0.002,0.275862069
01.apr,1,4,150,7.771428571,0.482758621
01.apr,1,4,250,27.16705882,0.586206897
01.apr,1,4,350,61.61090909,0.793103448
01.apr,1,4,450,71.31774194,0.931034483
01.apr,1,4,550,77.71666667,0.931034483
02.apr,2,4,50,0.684,0.24137931
02.apr,2,4,150,6.798496241,0.448275862
02.apr,2,4,250,24.80823529,0.586206897
02.apr,2,4,350,56.76636364,0.793103448
02.apr,2,4,450,70.16612903,0.931034483
02.apr,2,4,550,77,0.931034483
03.apr,3,4,50,0.626,0.24137931
03.apr,3,4,150,10.90827068,0.517241379
03.apr,3,4,250,22.56117647,0.655172414
03.apr,3,4,350,53.93363636,0.793103448
03.apr,3,4,450,67.44516129,0.931034483
03.apr,3,4,550,78.21666667,0.965517241
04.apr,4,4,50,0.572,0.206896552
04.apr,4,4,150,9.147368421,0.482758621
04.apr,4,4,250,24.07411765,0.586206897
04.apr,4,4,350,52.25181818,0.793103448
04.apr,4,4,450,65.37419355,0.931034483
04.apr,4,4,550,80.71666667,0.965517241
05.apr,5,4,50,0.15,0.172413793
05.apr,5,4,150,6.110526316,0.379310345
05.apr,5,4,250,21.68470588,0.586206897
05.apr,5,4,350,48.02818182,0.793103448
05.apr,5,4,450,64.62741935,0.896551724
05.apr,5,4,550,76.73333333,0.965517241
06.apr,6,4,50,0,0.172413793
06.apr,6,4,150,4.296992481,0.379310345
06.apr,6,4,250,17.08823529,0.586206897
06.apr,6,4,350,43.83636364,0.793103448
06.apr,6,4,450,65.67741935,0.896551724
06.apr,6,4,550,76.01666667,0.965517241
07.apr,7,4,50,0,0.137931034
07.apr,7,4,150,2.92481203,0.344827586
07.apr,7,4,250,13.63764706,0.586206897
07.apr,7,4,350,42.36,0.75862069
07.apr,7,4,450,63.71935484,0.896551724
07.apr,7,4,550,74.83333333,0.965517241
08.apr,8,4,50,0,0.103448276
08.apr,8,4,150,3.093984962,0.310344828
08.apr,8,4,250,10.30588235,0.517241379
08.apr,8,4,350,42.10363636,0.724137931
08.apr,8,4,450,63.49516129,0.862068966
08.apr,8,4,550,70.98333333,0.965517241
09.apr,9,4,50,0.008,0.103448276
09.apr,9,4,150,2.307518797,0.310344828
09.apr,9,4,250,7.764705882,0.448275862
09.apr,9,4,350,41.86545455,0.75862069
09.apr,9,4,450,61.86935484,0.827586207
09.apr,9,4,550,67.78333333,0.931034483
10.apr,10,4,50,0,0.103448276
